name,village,skill1,skill2,experience
ramjan khan,Bandakeri,labour,watchman,"I used to work as a labour and roam around for work, but I cannot anymore"
usha,Bandakeri,production helper,warden,I work as a production helper for many years now
mohabbat ali,Aladakatti,mason,machine operator,I work as a mason for many years now
jitender,Bandakeri,chaukidaar,mason,I used to work in the city as a chaukidaar when I started off in 2010 and I am unable to migrate since the pandemic
dalip shah,Budingod,factory worker,construction worker,I am an old man working around as a factory worker since 2010
khokan sarkar,Aladakatti,labourer,chaukidaar,I work as a labourer for many years now
saurabh,Bandakeri,guard,mason,"from year 2010 until recently, I worked as a guard around the village, and I have migrated to a lot of places"
pancham,Budingod,security,labour,"Since 2010, I worked on many sites as security and I am no longer able to work"
mustaq,Aladakatti,warden,industry worker,I want to be employed as a warden since I am out of work
devender singh,Budingod,factory worker,chaukidaar,"I used to work as a factory worker and roam around for work, but I cannot anymore"
vivek,Bandakeri,production helper,watchman,I have been looking for work as a production helper for a long time now
rajeev luka,Budingod,labour,production helper,I work as a labour for many years now
shelender yadav,Aladakatti,security,production helper,I used to work in the city as a security when I started off in 2010 and I am unable to migrate since the pandemic
kasim ansari,Budingod,factory worker,labourer,I am currently a factory worker and have been one since 2010 and I have no job since the pandemic
rajkumar,Budingod,production helper,mason,"I used to work as a production helper and roam around for work, but I cannot anymore"
gutam,Aladakatti,guard,machine operator,"Since 2010, I worked on many sites as guard and I am no longer able to work"
azhar  ali,Bandakeri,factory worker,chaukidaar,I used to work in the city as a factory worker when I started off in 2010 and I am unable to migrate since the pandemic
girishi chand,Aladakatti,chaukidaar,factory worker,"Since 2010, I worked on many sites as chaukidaar and I am no longer able to work"
lokesh varma,Budingod,mason,factory worker,I used to work in the city as a mason when I started off in 2010 and I am unable to migrate since the pandemic
bhanwar lal,Aladakatti,construction worker,watchman,I want to be employed as a construction worker since I am out of work
abhishek,Budingod,factory worker,labor,I am currently a factory worker and have been one since 2010 and I have no job since the pandemic
dilawar,Aladakatti,labourer,industry worker,I used to work in the city as a labourer when I started off in 2010 and I am unable to migrate since the pandemic
amit,Aladakatti,machine operator,construction worker,I want to be employed as a machine operator since I am out of work
madan lal,Budingod,production helper,mason,I am currently a production helper and have been one since 2010 and I have no job since the pandemic
haider ali,Budingod,labourer,security,I work as a labourer for many years now
rahul,Bandakeri,production helper,labor,"from year 2010 until recently, I worked as a production helper around the village, and I have migrated to a lot of places"
pintu thakur,Aladakatti,labor,machine operator,"I used to work as a labor and roam around for work, but I cannot anymore"
rohit,Aladakatti,guard,mason,I used to work in the city as a guard when I started off in 2010 and I am unable to migrate since the pandemic
gopal,Bandakeri,labourer,watchman,"I used to work as a labourer and roam around for work, but I cannot anymore"
rupesh,Aladakatti,construction worker,industry worker,I have been looking for work as a construction worker for a long time now
sunil kumar,Aladakatti,labourer,guard,I have been looking for work as a labourer for a long time now
man singh,Budingod,labor,machine operator,I used to work in the city as a labor when I started off in 2010 and I am unable to migrate since the pandemic
shadab,Aladakatti,mason,machinery handler,I have been looking for work as a mason for a long time now
aamir hussain,Aladakatti,mason,chaukidaar,I am currently a mason and have been one since 2010 and I have no job since the pandemic
mahender kumar,Aladakatti,industry worker,mason,"Since 2010, I worked on many sites as industry worker and I am no longer able to work"
vipulander,Budingod,labour,guard,"from year 2010 until recently, I worked as a labour around the village, and I have migrated to a lot of places"
satyadev,Aladakatti,labour,security,I am currently a labour and have been one since 2010 and I have no job since the pandemic
kabir,Aladakatti,watchman,labourer,I work as a watchman for many years now
rajeev,Aladakatti,machine operator,warden,I work as a machine operator for many years now
mukul verma,Bandakeri,guard,industry worker,I work as a guard for many years now
punit khandelwal,Aladakatti,chaukidaar,factory worker,I have been looking for work as a chaukidaar for a long time now
ravi shankar,Budingod,factory worker,mason,"from year 2010 until recently, I worked as a factory worker around the village, and I have migrated to a lot of places"
gautam,Bandakeri,warden,machine operator,"from year 2010 until recently, I worked as a warden around the village, and I have migrated to a lot of places"
ashsish kumar,Bandakeri,security,construction worker,I work as a security for many years now
moti lal,Aladakatti,machine operator,construction worker,I am an old man working around as a machine operator since 2010
santosh,Aladakatti,production helper,warden,I am a production helper and things have been difficult during pandemic
pawan,Aladakatti,watchman,mason,I want to be employed as a watchman since I am out of work
saddam hussain,Budingod,labor,watchman,I used to work in the city as a labor when I started off in 2010 and I am unable to migrate since the pandemic
vipin,Bandakeri,machinery handler,watchman,I want to be employed as a machinery handler since I am out of work
bhag chand,Bandakeri,labour,industry worker,I am an old man working around as a labour since 2010
surender,Bandakeri,labourer,watchman,"I used to work as a labourer and roam around for work, but I cannot anymore"
lal chand,Bandakeri,warden,labor,"Since 2010, I worked on many sites as warden and I am no longer able to work"
guddu,Aladakatti,mason,machine operator,I work as a mason for many years now
atul kumar,Budingod,mason,machine operator,I am currently a mason and have been one since 2010 and I have no job since the pandemic
amrit patel,Bandakeri,watchman,mason,I am a watchman and things have been difficult during pandemic
deepak,Budingod,labourer,chaukidaar,I am an old man working around as a labourer since 2010
ankush,Bandakeri,labour,chaukidaar,"I used to work as a labour and roam around for work, but I cannot anymore"
bishun,Aladakatti,labourer,warden,I am currently a labourer and have been one since 2010 and I have no job since the pandemic
rajan,Bandakeri,industry worker,construction worker,"Since 2010, I worked on many sites as industry worker and I am no longer able to work"
pushpendra singh rathore,Budingod,labourer,production helper,I am an old man working around as a labourer since 2010
vashudev,Bandakeri,mason,industry worker,I used to work in the city as a mason when I started off in 2010 and I am unable to migrate since the pandemic
rajneesh kumar,Budingod,watchman,industry worker,I am a watchman and things have been difficult during pandemic
aaftaab husan,Bandakeri,guard,labor,I want to be employed as a guard since I am out of work
lalit,Budingod,production helper,mason,I am a production helper and things have been difficult during pandemic
jyoti prakash,Budingod,security,labour,"I used to work as a security and roam around for work, but I cannot anymore"
sumit,Budingod,factory worker,labor,"I used to work as a factory worker and roam around for work, but I cannot anymore"
maansingh aswal,Aladakatti,industry worker,warden,I used to work in the city as a industry worker when I started off in 2010 and I am unable to migrate since the pandemic
ashok sharma,Bandakeri,industry worker,labor,I am an old man working around as a industry worker since 2010
soni,Bandakeri,mason,chaukidaar,I want to be employed as a mason since I am out of work
dinesh singh,Budingod,watchman,production helper,I used to work in the city as a watchman when I started off in 2010 and I am unable to migrate since the pandemic
vikram singh,Aladakatti,industry worker,guard,"Since 2010, I worked on many sites as industry worker and I am no longer able to work"
akkash,Aladakatti,guard,factory worker,I used to work in the city as a guard when I started off in 2010 and I am unable to migrate since the pandemic
patik@monu,Budingod,labourer,machine operator,I am a labourer and things have been difficult during pandemic
sugodh kumar,Budingod,machine operator,labour,"I used to work as a machine operator and roam around for work, but I cannot anymore"
parbhat,Bandakeri,watchman,machinery handler,I am currently a watchman and have been one since 2010 and I have no job since the pandemic
uttam kumar @ sanki,Aladakatti,labour,guard,I am an old man working around as a labour since 2010
mohd. amir,Bandakeri,warden,production helper,I work as a warden for many years now
naresh adhikari,Budingod,watchman,construction worker,I used to work in the city as a watchman when I started off in 2010 and I am unable to migrate since the pandemic
chanderpal,Budingod,guard,factory worker,I used to work in the city as a guard when I started off in 2010 and I am unable to migrate since the pandemic
shivam,Aladakatti,factory worker,guard,"from year 2010 until recently, I worked as a factory worker around the village, and I have migrated to a lot of places"
yognder,Aladakatti,warden,mason,"Since 2010, I worked on many sites as warden and I am no longer able to work"
ratikant maghi,Budingod,labor,watchman,I want to be employed as a labor since I am out of work
nanak chand,Bandakeri,industry worker,chaukidaar,I want to be employed as a industry worker since I am out of work
shahrukh,Budingod,labourer,industry worker,I used to work in the city as a labourer when I started off in 2010 and I am unable to migrate since the pandemic
raj kumar @ raju,Bandakeri,mason,factory worker,"Since 2010, I worked on many sites as mason and I am no longer able to work"
ayan khan,Budingod,labourer,security,"Since 2010, I worked on many sites as labourer and I am no longer able to work"
vicky,Budingod,machinery handler,labourer,"I used to work as a machinery handler and roam around for work, but I cannot anymore"
vikas kumar,Bandakeri,factory worker,guard,I am currently a factory worker and have been one since 2010 and I have no job since the pandemic
jitendra singh,Bandakeri,mason,guard,"I used to work as a mason and roam around for work, but I cannot anymore"
raman sharma,Budingod,security,labor,I have been looking for work as a security for a long time now
chetan,Aladakatti,industry worker,construction worker,"Since 2010, I worked on many sites as industry worker and I am no longer able to work"
dinesh,Budingod,machine operator,chaukidaar,I am an old man working around as a machine operator since 2010
mangat singh,Budingod,mason,guard,"from year 2010 until recently, I worked as a mason around the village, and I have migrated to a lot of places"
amit,Bandakeri,chaukidaar,industry worker,"from year 2010 until recently, I worked as a chaukidaar around the village, and I have migrated to a lot of places"
ashshwer parsad,Bandakeri,production helper,guard,I am currently a production helper and have been one since 2010 and I have no job since the pandemic
dheeraj,Budingod,factory worker,security,I work as a factory worker for many years now
pardeep kumar,Bandakeri,labour,watchman,"from year 2010 until recently, I worked as a labour around the village, and I have migrated to a lot of places"
shiva,Bandakeri,labourer,machine operator,"from year 2010 until recently, I worked as a labourer around the village, and I have migrated to a lot of places"
dharmender,Bandakeri,labour,production helper,I am currently a labour and have been one since 2010 and I have no job since the pandemic
rahul,Bandakeri,machine operator,watchman,"from year 2010 until recently, I worked as a machine operator around the village, and I have migrated to a lot of places"
saurabh s/o,Bandakeri,warden,mason,I am a warden and things have been difficult during pandemic
abhay,Bandakeri,mason,watchman,I have been looking for work as a mason for a long time now
vinay kumar upadhayay,Budingod,mason,guard,I am currently a mason and have been one since 2010 and I have no job since the pandemic
adnan,Aladakatti,security,mason,I work as a security for many years now
ravinder @ bacchi,Aladakatti,factory worker,guard,I am currently a factory worker and have been one since 2010 and I have no job since the pandemic
sandhaya,Aladakatti,production helper,labourer,I work as a production helper for many years now
rajesh singh,Bandakeri,factory worker,guard,I want to be employed as a factory worker since I am out of work
jeeya lal,Budingod,security,machine operator,I am currently a security and have been one since 2010 and I have no job since the pandemic
rahul sharma,Aladakatti,security,machinery handler,I am a security and things have been difficult during pandemic
ali sher,Budingod,industry worker,security,I want to be employed as a industry worker since I am out of work
parmod,Budingod,production helper,warden,I am a production helper and things have been difficult during pandemic
ramesh,Bandakeri,construction worker,production helper,I used to work in the city as a construction worker when I started off in 2010 and I am unable to migrate since the pandemic
arindra,Aladakatti,production helper,watchman,"Since 2010, I worked on many sites as production helper and I am no longer able to work"
rajesh naydu,Budingod,mason,chaukidaar,I work as a mason for many years now
arvind agarwal @ pinto,Bandakeri,chaukidaar,industry worker,I am currently a chaukidaar and have been one since 2010 and I have no job since the pandemic
shaid,Aladakatti,labor,chaukidaar,I am a labor and things have been difficult during pandemic
laxmikant @kaka,Bandakeri,production helper,chaukidaar,I am an old man working around as a production helper since 2010
rahul chauhan,Budingod,mason,industry worker,"Since 2010, I worked on many sites as mason and I am no longer able to work"
parash das,Aladakatti,industry worker,watchman,I am a industry worker and things have been difficult during pandemic
mohit maan,Aladakatti,production helper,warden,"I used to work as a production helper and roam around for work, but I cannot anymore"
manoj kumar,Bandakeri,factory worker,labour,I have been looking for work as a factory worker for a long time now
ram jatan,Bandakeri,watchman,factory worker,I am a watchman and things have been difficult during pandemic
tammanne,Aladakatti,labourer,guard,I work as a labourer for many years now
manni @ manish,Bandakeri,labour,machinery handler,I am an old man working around as a labour since 2010
dinesh,Aladakatti,production helper,guard,"Since 2010, I worked on many sites as production helper and I am no longer able to work"
iarfan mohammad,Bandakeri,mason,machine operator,I used to work in the city as a mason when I started off in 2010 and I am unable to migrate since the pandemic
somender,Budingod,mason,watchman,I want to be employed as a mason since I am out of work
surendra,Bandakeri,industry worker,guard,"Since 2010, I worked on many sites as industry worker and I am no longer able to work"
preetam kumar,Aladakatti,factory worker,construction worker,I am currently a factory worker and have been one since 2010 and I have no job since the pandemic
smt sunita,Budingod,guard,labor,I am currently a guard and have been one since 2010 and I have no job since the pandemic
sanjeev,Budingod,production helper,construction worker,I am a production helper and things have been difficult during pandemic
raman,Aladakatti,construction worker,chaukidaar,I am currently a construction worker and have been one since 2010 and I have no job since the pandemic
vijay singh,Aladakatti,watchman,industry worker,"Since 2010, I worked on many sites as watchman and I am no longer able to work"
raju singh,Bandakeri,production helper,construction worker,I am a production helper and things have been difficult during pandemic
ketan,Budingod,machine operator,security,"from year 2010 until recently, I worked as a machine operator around the village, and I have migrated to a lot of places"
rajbir ahlawat,Bandakeri,watchman,production helper,I used to work in the city as a watchman when I started off in 2010 and I am unable to migrate since the pandemic
rima,Bandakeri,labor,machine operator,I want to be employed as a labor since I am out of work
rajveer,Bandakeri,machine operator,warden,I am currently a machine operator and have been one since 2010 and I have no job since the pandemic
neeraj kishore,Budingod,mason,guard,I want to be employed as a mason since I am out of work
raja kumar,Aladakatti,chaukidaar,mason,I work as a chaukidaar for many years now
ravi singh,Bandakeri,machinery handler,labour,I am currently a machinery handler and have been one since 2010 and I have no job since the pandemic
sone lal shah,Bandakeri,labor,security,I am currently a labor and have been one since 2010 and I have no job since the pandemic
varun chandela,Bandakeri,security,construction worker,I work as a security for many years now
rajesh kumar,Bandakeri,labor,security,"from year 2010 until recently, I worked as a labor around the village, and I have migrated to a lot of places"
prateek kumar tiwari,Bandakeri,factory worker,guard,I want to be employed as a factory worker since I am out of work
mohd ataullah,Aladakatti,production helper,labour,I have been looking for work as a production helper for a long time now
rohit,Bandakeri,labor,watchman,I am an old man working around as a labor since 2010
vibhuti shyamal,Bandakeri,labor,watchman,I used to work in the city as a labor when I started off in 2010 and I am unable to migrate since the pandemic
mohd. iqbal,Budingod,watchman,mason,I am a watchman and things have been difficult during pandemic
deepak,Budingod,labourer,warden,I work as a labourer for many years now
manish kumar saket,Bandakeri,production helper,security,"Since 2010, I worked on many sites as production helper and I am no longer able to work"
b vikjay kumar,Aladakatti,watchman,machinery handler,I am an old man working around as a watchman since 2010
ombir singh,Bandakeri,chaukidaar,production helper,I am an old man working around as a chaukidaar since 2010
amit,Budingod,factory worker,construction worker,"from year 2010 until recently, I worked as a factory worker around the village, and I have migrated to a lot of places"
suraj,Bandakeri,labor,production helper,"from year 2010 until recently, I worked as a labor around the village, and I have migrated to a lot of places"
ikramuddin,Aladakatti,labor,chaukidaar,I work as a labor for many years now
lalit rastogi,Budingod,factory worker,security,"I used to work as a factory worker and roam around for work, but I cannot anymore"
momin,Bandakeri,chaukidaar,production helper,I want to be employed as a chaukidaar since I am out of work
amit,Budingod,labourer,watchman,I work as a labourer for many years now
sanjay kumar @ pappu,Bandakeri,chaukidaar,mason,I am a chaukidaar and things have been difficult during pandemic
bharat,Aladakatti,watchman,factory worker,I am an old man working around as a watchman since 2010
rahul,Aladakatti,industry worker,guard,I work as a industry worker for many years now
yogesh rawat,Bandakeri,factory worker,chaukidaar,"I used to work as a factory worker and roam around for work, but I cannot anymore"
ajay @mannu,Budingod,industry worker,labour,I used to work in the city as a industry worker when I started off in 2010 and I am unable to migrate since the pandemic
kishan,Aladakatti,labor,machine operator,"Since 2010, I worked on many sites as labor and I am no longer able to work"
arjun,Aladakatti,industry worker,warden,I used to work in the city as a industry worker when I started off in 2010 and I am unable to migrate since the pandemic
praful naag,Bandakeri,industry worker,watchman,I want to be employed as a industry worker since I am out of work
rajender,Aladakatti,guard,labor,"from year 2010 until recently, I worked as a guard around the village, and I have migrated to a lot of places"
rahul,Bandakeri,watchman,labor,I have been looking for work as a watchman for a long time now
abhishekh,Aladakatti,construction worker,factory worker,"I used to work as a construction worker and roam around for work, but I cannot anymore"
ajay narayan,Aladakatti,watchman,machine operator,I am a watchman and things have been difficult during pandemic
sujen manjhi,Aladakatti,security,industry worker,"Since 2010, I worked on many sites as security and I am no longer able to work"
karan,Bandakeri,factory worker,construction worker,"from year 2010 until recently, I worked as a factory worker around the village, and I have migrated to a lot of places"
chander shaker,Aladakatti,machinery handler,mason,"I used to work as a machinery handler and roam around for work, but I cannot anymore"
mahesh chand tiwari,Bandakeri,labourer,watchman,I am an old man working around as a labourer since 2010
pooran chand sharma,Aladakatti,watchman,mason,I am an old man working around as a watchman since 2010
angreg singh,Budingod,machine operator,watchman,I am currently a machine operator and have been one since 2010 and I have no job since the pandemic
akhilesh,Aladakatti,security,labour,I want to be employed as a security since I am out of work
arun,Budingod,factory worker,construction worker,I have been looking for work as a factory worker for a long time now
abdul kadir,Bandakeri,chaukidaar,industry worker,I am an old man working around as a chaukidaar since 2010
chanderpal,Aladakatti,watchman,factory worker,"I used to work as a watchman and roam around for work, but I cannot anymore"
lalit kathuriya,Aladakatti,watchman,machine operator,I work as a watchman for many years now
vinod,Aladakatti,machine operator,guard,I am a machine operator and things have been difficult during pandemic
govind,Bandakeri,mason,warden,I am an old man working around as a mason since 2010
mohd. firoz,Bandakeri,watchman,labourer,"from year 2010 until recently, I worked as a watchman around the village, and I have migrated to a lot of places"
vikash,Budingod,labourer,industry worker,"Since 2010, I worked on many sites as labourer and I am no longer able to work"
saddam,Aladakatti,industry worker,security,I used to work in the city as a industry worker when I started off in 2010 and I am unable to migrate since the pandemic
sumit,Aladakatti,security,production helper,"I used to work as a security and roam around for work, but I cannot anymore"
sumit,Budingod,industry worker,guard,I have been looking for work as a industry worker for a long time now
sanavvar,Aladakatti,factory worker,labour,I have been looking for work as a factory worker for a long time now
pawan,Budingod,labor,production helper,I am an old man working around as a labor since 2010
jag mohan,Bandakeri,labor,guard,I am currently a labor and have been one since 2010 and I have no job since the pandemic
vivek,Bandakeri,industry worker,chaukidaar,I have been looking for work as a industry worker for a long time now
manish @ mukesh,Budingod,security,machinery handler,I am currently a security and have been one since 2010 and I have no job since the pandemic
amit kumar,Bandakeri,construction worker,guard,I work as a construction worker for many years now
santosh,Aladakatti,security,construction worker,"I used to work as a security and roam around for work, but I cannot anymore"
deepak goyal,Bandakeri,chaukidaar,machine operator,"I used to work as a chaukidaar and roam around for work, but I cannot anymore"
nahar singh,Aladakatti,industry worker,security,I work as a industry worker for many years now
chandan,Budingod,labourer,industry worker,I am currently a labourer and have been one since 2010 and I have no job since the pandemic
azad ali,Budingod,factory worker,watchman,"from year 2010 until recently, I worked as a factory worker around the village, and I have migrated to a lot of places"
sheak shakir,Aladakatti,warden,labour,I am an old man working around as a warden since 2010
parveen,Bandakeri,machinery handler,labourer,I am an old man working around as a machinery handler since 2010
shankar kumar,Aladakatti,mason,guard,I work as a mason for many years now
vivek,Aladakatti,machinery handler,chaukidaar,I am currently a machinery handler and have been one since 2010 and I have no job since the pandemic
nanku prasad,Aladakatti,industry worker,labourer,I am currently a industry worker and have been one since 2010 and I have no job since the pandemic
mehraj,Aladakatti,security,labour,I am currently a security and have been one since 2010 and I have no job since the pandemic
deelip,Bandakeri,production helper,warden,I used to work in the city as a production helper when I started off in 2010 and I am unable to migrate since the pandemic
rijakpal,Bandakeri,watchman,mason,I used to work in the city as a watchman when I started off in 2010 and I am unable to migrate since the pandemic
sachin,Budingod,industry worker,guard,I want to be employed as a industry worker since I am out of work
surender sain,Bandakeri,watchman,machine operator,I am an old man working around as a watchman since 2010
harender,Budingod,construction worker,factory worker,I want to be employed as a construction worker since I am out of work
kali charan,Aladakatti,labour,security,"I used to work as a labour and roam around for work, but I cannot anymore"
karan,Budingod,labourer,industry worker,I have been looking for work as a labourer for a long time now
jagdish,Bandakeri,factory worker,security,"from year 2010 until recently, I worked as a factory worker around the village, and I have migrated to a lot of places"
rashab,Bandakeri,production helper,watchman,"from year 2010 until recently, I worked as a production helper around the village, and I have migrated to a lot of places"
mohd. jafruddin,Budingod,machinery handler,security,I am a machinery handler and things have been difficult during pandemic
sh pratap singh,Budingod,security,machinery handler,I work as a security for many years now
mustafa,Bandakeri,security,labour,"from year 2010 until recently, I worked as a security around the village, and I have migrated to a lot of places"
mobin,Aladakatti,machine operator,chaukidaar,I am currently a machine operator and have been one since 2010 and I have no job since the pandemic
mohd sajim,Budingod,guard,production helper,I am currently a guard and have been one since 2010 and I have no job since the pandemic
ayub khan,Bandakeri,machine operator,chaukidaar,I have been looking for work as a machine operator for a long time now
ashish,Bandakeri,machine operator,labour,I want to be employed as a machine operator since I am out of work
shahnawaz,Bandakeri,labourer,machine operator,I want to be employed as a labourer since I am out of work
ravi kumar,Budingod,industry worker,labourer,"Since 2010, I worked on many sites as industry worker and I am no longer able to work"
shankar kumar,Bandakeri,watchman,construction worker,"Since 2010, I worked on many sites as watchman and I am no longer able to work"
amit,Aladakatti,chaukidaar,production helper,"Since 2010, I worked on many sites as chaukidaar and I am no longer able to work"
vivek,Aladakatti,industry worker,labor,I used to work in the city as a industry worker when I started off in 2010 and I am unable to migrate since the pandemic
hari ram,Aladakatti,production helper,chaukidaar,I am an old man working around as a production helper since 2010
dinesh,Bandakeri,production helper,chaukidaar,I am an old man working around as a production helper since 2010
amarapal,Bandakeri,watchman,labor,"from year 2010 until recently, I worked as a watchman around the village, and I have migrated to a lot of places"
manoj  kumar age-24 & satesh  kumar age 18,Budingod,labourer,guard,I am an old man working around as a labourer since 2010
sanjay,Bandakeri,labourer,warden,I am an old man working around as a labourer since 2010
dharam singh,Aladakatti,watchman,industry worker,I am an old man working around as a watchman since 2010
naresh chand @ pappu,Budingod,factory worker,labour,I used to work in the city as a factory worker when I started off in 2010 and I am unable to migrate since the pandemic
iswar sharan,Bandakeri,industry worker,mason,I used to work in the city as a industry worker when I started off in 2010 and I am unable to migrate since the pandemic
shubham yadav,Aladakatti,construction worker,chaukidaar,I work as a construction worker for many years now
sonu,Bandakeri,warden,mason,I used to work in the city as a warden when I started off in 2010 and I am unable to migrate since the pandemic
ramesh malik,Budingod,labourer,factory worker,I want to be employed as a labourer since I am out of work
leela dhar narang,Budingod,guard,mason,"I used to work as a guard and roam around for work, but I cannot anymore"
pankaj saini,Bandakeri,machine operator,labour,I am an old man working around as a machine operator since 2010
devender,Budingod,labourer,machinery handler,I work as a labourer for many years now
samsuddin,Budingod,machine operator,chaukidaar,I am a machine operator and things have been difficult during pandemic
vijay virmani,Aladakatti,production helper,labourer,I have been looking for work as a production helper for a long time now
vishal,Budingod,machinery handler,labour,"Since 2010, I worked on many sites as machinery handler and I am no longer able to work"
chottu shah,Bandakeri,labor,watchman,I am an old man working around as a labor since 2010
rajmani,Aladakatti,factory worker,labour,"from year 2010 until recently, I worked as a factory worker around the village, and I have migrated to a lot of places"
ajit,Bandakeri,production helper,guard,"from year 2010 until recently, I worked as a production helper around the village, and I have migrated to a lot of places"
